Colors,12,24,48,72,144,288,500,1000,2000
1, $7.40 , $5.70 , $4.55 , $4.10 , $3.80 , $3.25 , $2.85 , $2.50 , $2.25 
2, $9.65 , $6.35 , $5.00 , $4.50 , $4.05 , $3.45 , $3.05 , $2.65 , $2.35 
3, $11.90 , $7.00 , $5.45 , $4.90 , $4.30 , $3.65 , $3.25 , $2.80 , $2.45 
4, $14.15 , $7.65 , $5.90 , $5.30 , $4.55 , $3.85 , $3.45 , $2.95 , $2.55 
5, $16.40 , $8.30 , $6.35 , $5.70 , $4.80 , $4.05 , $3.65 , $3.10 , $2.65 
6, $18.65 , $8.95 , $6.80 , $6.10 , $5.05 , $4.25 , $3.85 , $3.25 , $2.75 
7, $20.90 , $9.60 , $7.25 , $6.50 , $5.30 , $4.45 , $4.05 , $3.40 , $2.85 
8, $23.15 , $10.25 , $7.70 , $6.90 , $5.55 , $4.65 , $4.25 , $3.55 , $2.95 
