Colors,12,24,48,72,144,288,500,1000,2000
1, $2.85 , $1.85 , $1.25 , $1.05 , $0.95 , $0.75 , $0.70 , $0.60 , $0.50 
2, $4.10 , $2.50 , $1.70 , $1.45 , $1.20 , $0.95 , $0.90 , $0.75 , $0.60 
3, $5.35 , $3.15 , $2.15 , $1.85 , $1.45 , $1.15 , $1.10 , $0.90 , $0.70 
4, $6.60 , $3.80 , $2.60 , $2.25 , $1.70 , $1.35 , $1.30 , $1.05 , $0.80 
5, $7.85 , $4.45 , $3.05 , $2.65 , $1.95 , $1.55 , $1.50 , $1.20 , $0.90 
6, $9.10 , $5.10 , $3.50 , $3.05 , $2.20 , $1.75 , $1.70 , $1.35 , $1.00 
7, $10.35 , $5.75 , $3.95 , $3.45 , $2.45 , $1.95 , $1.90 , $1.50 , $1.10 
8, $11.60 , $6.40 , $4.40 , $3.85 , $2.70 , $2.15 , $2.10 , $1.65 , $1.20 
